INFO 2022-01-24 14:27:07,057 autoreload 21812 139946164685824 Watching for file changes with StatReloader
INFO 2022-01-24 14:30:57,780 basehttp 21812 139945998132800 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:30:59,333 basehttp 21812 139945998132800 "GET /admin/products/category/ HTTP/1.1" 200 26268
INFO 2022-01-24 14:30:59,377 basehttp 21812 139945978988096 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:30:59,395 basehttp 21812 139945998132800 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:00,906 basehttp 21812 139945998132800 "GET /admin/products/category/add/ HTTP/1.1" 200 26965
INFO 2022-01-24 14:31:00,972 basehttp 21812 139945998132800 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:00,973 basehttp 21812 139945962202688 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2022-01-24 14:31:00,978 basehttp 21812 139945962202688 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2022-01-24 14:31:00,984 basehttp 21812 139945978988096 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:01,003 basehttp 21812 139945978988096 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2022-01-24 14:31:07,458 basehttp 21812 139945978988096 "POST /admin/products/category/add/ HTTP/1.1" 302 0
INFO 2022-01-24 14:31:07,521 basehttp 21812 139945978988096 "GET /admin/products/category/ HTTP/1.1" 200 27666
INFO 2022-01-24 14:31:07,562 basehttp 21812 139945962202688 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:07,580 basehttp 21812 139945978988096 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:09,879 basehttp 21812 139945978988096 "GET /admin/products/ HTTP/1.1" 200 26117
INFO 2022-01-24 14:31:09,915 basehttp 21812 139945978988096 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:11,726 basehttp 21812 139945978988096 "GET /admin/products/products/ HTTP/1.1" 200 26268
INFO 2022-01-24 14:31:11,784 basehttp 21812 139945962202688 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:11,798 basehttp 21812 139945978988096 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:13,733 basehttp 21812 139945978988096 "GET /admin/products/products/add/ HTTP/1.1" 200 32735
INFO 2022-01-24 14:31:13,779 basehttp 21812 139945978988096 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:13,796 basehttp 21812 139945962202688 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:31:13,837 basehttp 21812 139945962202688 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2022-01-24 14:31:13,843 basehttp 21812 139945962202688 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2022-01-24 14:31:13,844 basehttp 21812 139945978988096 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 304 0
INFO 2022-01-24 14:32:17,448 basehttp 21812 139945978988096 "POST /admin/products/products/add/ HTTP/1.1" 302 0
INFO 2022-01-24 14:32:17,522 basehttp 21812 139945978988096 "GET /admin/products/products/ HTTP/1.1" 200 30473
INFO 2022-01-24 14:32:17,559 basehttp 21812 139945962202688 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:32:17,601 basehttp 21812 139945978988096 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:32:19,297 basehttp 21812 139945978988096 "GET / HTTP/1.1" 200 6081
INFO 2022-01-24 14:32:19,334 basehttp 21812 139945978988096 "GET /media/Kyiv_Maidan_shutterstock_1423896587.jpg HTTP/1.1" 200 87998
INFO 2022-01-24 14:32:30,501 basehttp 21812 139945978988096 "GET /add_to_cart/a14e6b08-fe3d-4563-bcfd-9e0ba1f28169 HTTP/1.1" 302 0
INFO 2022-01-24 14:32:30,530 basehttp 21812 139945978988096 "GET / HTTP/1.1" 200 6081
INFO 2022-01-24 14:32:30,560 basehttp 21812 139945978988096 "GET /media/Kyiv_Maidan_shutterstock_1423896587.jpg HTTP/1.1" 304 0
INFO 2022-01-24 14:33:40,289 autoreload 23616 140600127159296 Watching for file changes with StatReloader
INFO 2022-01-24 14:33:42,381 basehttp 23616 140600028010048 "GET / HTTP/1.1" 200 6081
INFO 2022-01-24 14:33:42,418 basehttp 23616 140600028010048 "GET /media/Kyiv_Maidan_shutterstock_1423896587.jpg HTTP/1.1" 304 0
INFO 2022-01-24 14:33:44,517 basehttp 23616 140600028010048 "GET /add_to_cart/a14e6b08-fe3d-4563-bcfd-9e0ba1f28169 HTTP/1.1" 302 0
INFO 2022-01-24 14:33:44,544 basehttp 23616 140600028010048 "GET / HTTP/1.1" 200 6081
INFO 2022-01-24 14:33:58,498 basehttp 23616 140600028010048 "GET /pythona14e6b08-fe3d-4563-bcfd-9e0ba1f28169/ HTTP/1.1" 200 6082
INFO 2022-01-24 14:33:58,539 basehttp 23616 140600028010048 "GET /media/Kyiv_Maidan_shutterstock_1423896587.jpg HTTP/1.1" 304 0
INFO 2022-01-24 14:34:01,544 basehttp 23616 140600028010048 "GET /add_to_cart/a14e6b08-fe3d-4563-bcfd-9e0ba1f28169 HTTP/1.1" 302 0
INFO 2022-01-24 14:34:01,567 basehttp 23616 140600028010048 "GET / HTTP/1.1" 200 6081
